ZONA,COBROS (RD$ MM),MES,AÑO
Zona 3 - Baní,174.0926301,Enero,2020
Zona 4 - San Juan,76.1775167,Enero,2020
Zona 5 - Barahona,108.8668414,Enero,2020
Zona 1 - Distrito,1349.744092,Febrero,2020
Zona 2 - San Cristóbal,685.9506447,Febrero,2020
Zona 3 - Baní,544.5785491,Febrero,2020
Zona 4 - San Juan,64.7430076,Febrero,2020
Zona 5 - Barahona,70.1985661,Febrero,2020
Zona 1 - Distrito,1407.340533,Marzo,2020
Zona 2 - San Cristóbal,685.1567885,Marzo,2020
Zona 3 - Baní,154.1282275,Marzo,2020
Zona 4 - San Juan,60.6869597,Marzo,2020
Zona 5 - Barahona,92.0949742,Marzo,2020
Zona 1 - Distrito,1242.115306,Abril,2020
Zona 2 - San Cristóbal,617.8473973,Abril,2020
Zona 3 - Baní,163.5377161,Abril,2020
Zona 4 - San Juan,49.5401631,Abril,2020
Zona 5 - Barahona,87.8958071,Abril,2020
Zona 1 - Distrito,1282.632051,Mayo,2020
Zona 2 - San Cristóbal,669.0444672,Mayo,2020
Zona 3 - Baní,164.9339112,Mayo,2020
Zona 4 - San Juan,76.2440616,Mayo,2020
Zona 5 - Barahona,105.3448904,Mayo,2020
Zona 1 - Distrito,1428.771326,Junio,2020
Zona 2 - San Cristóbal,717.3815444,Junio,2020
Zona 3 - Baní,192.1865166,Junio,2020
Zona 4 - San Juan,83.9434356,Junio,2020
Zona 5 - Barahona,111.1903666,Junio,2020
Zona 1 - Distrito,1712.60688,Julio,2020
Zona 2 - San Cristóbal,888.7762818,Julio,2020
Zona 3 - Baní,209.7143699,Julio,2020
Zona 4 - San Juan,84.8022799,Julio,2020
Zona 5 - Barahona,124.5084119,Julio,2020
Zona 1 - Distrito,1785.32604,Agosto,2020
Zona 2 - San Cristóbal,931.2500707,Agosto,2020
Zona 3 - Baní,204.0589877,Agosto,2020
Zona 4 - San Juan,86.4222211,Agosto,2020
Zona 5 - Barahona,120.4234484,Agosto,2020
Zona 1 - Distrito,1710.299757,Septiembre,2020
Zona 2 - San Cristóbal,850.1195078,Septiembre,2020
Zona 3 - Baní,214.4166024,Septiembre,2020
Zona 4 - San Juan,86.4048248,Septiembre,2020
Zona 5 - Barahona,129.6538954,Septiembre,2020
Zona 1 - Distrito,1848.340017,Octubre,2020
Zona 2 - San Cristóbal,971.4331069,Octubre,2020
Zona 3 - Baní,287.9449924,Octubre,2020
Zona 4 - San Juan,98.0138851,Octubre,2020
Zona 5 - Barahona,142.8448997,Octubre,2020
Zona 1 - Distrito,1632.322034,Noviembre,2020
Zona 2 - San Cristóbal,892.5412365,Noviembre,2020
Zona 3 - Baní,203.0055924,Noviembre,2020
Zona 4 - San Juan,84.0469698,Noviembre,2020
Zona 5 - Barahona,115.47777,Noviembre,2020
Zona 1 - Distrito,1622.856178,Diciembre,2020
Zona 2 - San Cristóbal,865.7388982,Diciembre,2020
Zona 3 - Baní,199.2052228,Diciembre,2020
Zona 4 - San Juan,86.9433448,Diciembre,2020
Zona 5 - Barahona,119.2491793,Diciembre,2020
Zona 1 - Distrito,1333.476027,Enero,2021
Zona 2 - San Cristóbal,720.6221867,Enero,2021
Zona 3 - Baní,146.5281003,Enero,2021
Zona 4 - San Juan,63.5127166,Enero,2021
Zona 5 - Barahona,67.1538875,Enero,2021
Zona 1 - Distrito,1349.630642,Febrero,2021
Zona 2 - San Cristóbal,766.1433266,Febrero,2021
Zona 3 - Baní,171.9097484,Febrero,2021
Zona 4 - San Juan,74.6858343,Febrero,2021
Zona 5 - Barahona,105.2117169,Febrero,2021
Zona 1 - Distrito,1513.699284,Marzo,2021
Zona 2 - San Cristóbal,849.6870642,Marzo,2021
Zona 3 - Baní,214.7672054,Marzo,2021
Zona 4 - San Juan,79.9249353,Marzo,2021
Zona 5 - Barahona,117.4791915,Marzo,2021
Zona 1 - Distrito,1394.081048,Abril,2021
Zona 2 - San Cristóbal,830.6704817,Abril,2021
Zona 3 - Baní,200.7726374,Abril,2021
Zona 4 - San Juan,79.3578549,Abril,2021
Zona 5 - Barahona,122.836071,Abril,2021
Zona 1 - Distrito,1500.183695,Mayo,2021
Zona 2 - San Cristóbal,856.9361098,Mayo,2021
Zona 3 - Baní,200.7783769,Mayo,2021
Zona 4 - San Juan,79.1811646,Mayo,2021
Zona 5 - Barahona,119.5745621,Mayo,2021
Zona 1 - Distrito,1558.684996,Junio,2021
Zona 2 - San Cristóbal,908.9008681,Junio,2021
Zona 3 - Baní,194.2870706,Junio,2021
Zona 4 - San Juan,79.36327,Junio,2021
Zona 5 - Barahona,120.458337,Junio,2021
Zona 1 - Distrito,1630.61623,Julio,2021
Zona 2 - San Cristóbal,938.8903153,Julio,2021
Zona 3 - Baní,248.3159649,Julio,2021
Zona 4 - San Juan,91.8255941,Julio,2021
Zona 5 - Barahona,157.1798114,Julio,2021
Zona 1 - Distrito,1698.183827,Agosto,2021
Zona 2 - San Cristóbal,954.8922345,Agosto,2021
Zona 3 - Baní,217.790831,Agosto,2021
Zona 4 - San Juan,84.9526442,Agosto,2021
Zona 5 - Barahona,130.4854129,Agosto,2021
Zona 1 - Distrito,1710.013188,Septiembre,2021
Zona 2 - San Cristóbal,947.0697747,Septiembre,2021
Zona 3 - Baní,215.9438438,Septiembre,2021
Zona 4 - San Juan,87.3288628,Septiembre,2021
Zona 5 - Barahona,130.9218169,Septiembre,2021
Zona 1 - Distrito,1798.681945,Octubre,2021
Zona 2 - San Cristóbal,983.209558,Octubre,2021
Zona 3 - Baní,210.6691851,Octubre,2021
Zona 4 - San Juan,88.5382745,Octubre,2021
Zona 5 - Barahona,128.1957769,Octubre,2021
